season,number_in_season,number_in_series,original_air_date,day_aired,imdb_rating,us_viewers_in_millions,title,is_last_episode
7,13,141,1996-01-14,Sunday,8.7,16.5,Two Bad Neighbors,0
7,16,144,1996-02-18,Sunday,8.1,13.4,Lisa the Iconoclast,0
7,8,136,1995-11-19,Sunday,8.5,15.3,Mother Simpson,0
7,22,150,1996-04-28,Sunday,8.3,13.0,"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""",0
7,24,152,1996-05-19,Sunday,8.0,12.9,Homerpalooza,0
9,3,181,1997-10-19,Sunday,8.1,12.9,Lisa's Sax,0
8,13,166,1997-02-07,Friday,7.7,17.7,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,0
8,1,154,1996-10-27,Sunday,8.3,18.3,Treehouse of Horror VII,0
8,16,169,1997-02-23,Sunday,8.2,15.1,Brother from Another Series,0
8,3,156,1996-11-10,Sunday,8.0,17.0,The Homer They Fall,0
8,5,158,1996-11-24,Sunday,8.2,14.1,Bart After Dark,0
9,24,202,1998-05-10,Sunday,7.7,7.6,Lost Our Lisa,0
9,21,199,1998-04-19,Sunday,7.9,8.5,Girly Edition,0
9,9,187,1997-12-07,Sunday,7.5,10.6,Realty Bites,0
8,21,174,1997-04-20,Sunday,7.9,14.0,The Old Man and the Lisa,0
8,6,159,1996-12-01,Sunday,8.0,12.8,A Milhouse Divided,0
8,17,170,1997-03-02,Sunday,8.1,15.1,"My Sister, My Sitter",0
9,15,193,1998-02-22,Sunday,7.5,9.5,The Last Temptation of Krust,0
9,5,183,1997-11-02,Sunday,8.2,10.3,The Cartridge Family,0
8,19,172,1997-04-06,Sunday,8.2,13.3,Grade School Confidential,0
8,8,161,1996-12-29,Sunday,8.8,,Hurricane Neddy,0
9,19,197,1998-03-29,Sunday,8.3,9.0,Simpson Tide,0
8,24,177,1997-05-11,Sunday,7.3,11.6,The Simpsons Spin-Off Showcase,0
9,1,179,1997-09-21,Sunday,9.1,10.5,The City of New York vs. Homer Simpson,0
9,10,188,1997-12-21,Sunday,7.6,9.6,Miracle on Evergreen Terrace,0
9,23,201,1998-05-03,Sunday,8.3,9.2,King of the Hill,0
9,14,192,1998-02-15,Sunday,8.1,9.6,Das Bus,0
10,1,204,1998-08-23,Sunday,7.6,7.0,Lard of the Dance,0
9,12,190,1998-01-11,Sunday,7.7,11.7,Bart Carny,0
9,17,195,1998-03-08,Sunday,8.0,10.4,Lisa the Simpson,0
7,18,146,1996-03-17,Sunday,8.0,14.4,The Day the Violence Died,0
10,5,208,1998-11-08,Sunday,7.3,9.0,When You Dish Upon a Star,0
10,7,210,1998-11-22,Sunday,8.0,8.0,"Lisa Gets an ""A""",0
10,8,211,1998-12-06,Sunday,7.3,7.2,"Homer Simpson in: ""Kidney Trouble""",0
12,4,252,2000-11-19,Sunday,7.2,14.9,Lisa the Tree Hugger,0
10,12,215,1999-01-31,Sunday,6.9,11.5,"Sunday, Cruddy Sunday",0
10,17,220,1999-03-28,Sunday,7.6,15.5,Maximum Homerdrive,0
11,6,232,1999-11-14,Sunday,7.3,9.2,"Hello Gutter, Hello Fadder",0
10,18,221,1999-04-04,Sunday,7.3,12.2,Simpsons Bible Stories,0
12,12,260,2001-02-11,Sunday,6.9,14.0,Tennis the Menace,0
10,10,213,1999-01-10,Sunday,7.8,11.5,Viva Ned Flanders,0
11,4,230,1999-10-31,Sunday,7.7,8.7,Treehouse of Horror X,0
11,20,246,2000-05-07,Sunday,7.2,7.3,Last Tap Dance in Springfield,0
11,2,228,1999-10-03,Sunday,7.5,7.1,Brother's Little Helper,0
10,20,223,1999-04-25,Sunday,7.3,6.9,"The Old Man and the ""C"" Student",0
11,17,243,2000-03-19,Sunday,7.0,8.77,Bart to the Future,0
11,1,227,1999-09-26,Sunday,7.3,8.1,Beyond Blunderdome,0
10,22,225,1999-05-09,Sunday,7.3,6.8,They Saved Lisa's Brain,0
10,13,216,1999-02-07,Sunday,7.7,8.3,Homer to the Max,0
11,8,234,1999-11-28,Sunday,7.1,8.9,"Take My Wife, Sleaze",0
11,10,236,2000-01-09,Sunday,7.3,10.0,Little Big Mom,0
